,date,open,high,low,close,volume,Symbol,Name
0,2019-11-26,177.5772,179.9512,177.5772,178.1469,74549578.0,09988,阿里巴巴
1,2019-11-27,180.426,185.4589,179.7613,183.4648,53617241.0,09988,阿里巴巴
2,2019-11-28,187.0733,193.9105,186.9783,193.7206,41816834.0,09988,阿里巴巴
3,2019-11-29,193.7206,194.4802,187.5481,188.4027,36509531.0,09988,阿里巴巴
4,2019-12-02,188.0229,188.8775,184.2244,185.6489,26592325.0,09988,阿里巴巴
5,2019-12-03,182.0403,184.4144,180.8058,182.895,19911922.0,09988,阿里巴巴
6,2019-12-04,180.426,181.9454,179.0016,179.4764,19276308.0,09988,阿里巴巴
7,2019-12-05,181.7555,184.0345,181.2807,182.7051,17932572.0,09988,阿里巴巴
8,2019-12-06,186.2186,188.1178,185.5539,187.5481,19205791.0,09988,阿里巴巴
9,2019-12-09,187.0733,188.3078,186.1237,186.6934,8558132.0,09988,阿里巴巴
10,2019-12-10,185.1741,186.5985,183.9396,185.5539,6639899.0,09988,阿里巴巴
11,2019-12-11,186.3136,188.4027,185.5539,187.643,6534411.0,09988,阿里巴巴
12,2019-12-12,189.5423,191.0616,189.5423,190.112,8825275.0,09988,阿里巴巴
13,2019-12-13,192.581,192.7709,189.3523,191.8213,18576570.0,09988,阿里巴巴
14,2019-12-16,191.4415,192.581,189.9221,190.8717,6616578.0,09988,阿里巴巴
15,2019-12-17,192.9609,195.4298,192.0113,193.5306,11225195.0,09988,阿里巴巴
16,2019-12-18,193.5306,193.5306,191.4415,192.3911,8179646.0,09988,阿里巴巴
17,2019-12-19,193.7206,195.05,192.3911,194.4802,7525360.0,09988,阿里巴巴
18,2019-12-20,194.6702,197.8988,194.4802,196.5694,16804751.0,09988,阿里巴巴
19,2019-12-23,198.4686,199.6081,197.3291,197.8988,9892858.0,09988,阿里巴巴
20,2019-12-24,199.2283,200.3678,198.4686,199.7981,7770434.0,09988,阿里巴巴
21,2019-12-27,200.3678,202.8368,200.1779,202.0771,10774808.0,09988,阿里巴巴
22,2019-12-30,200.3678,201.3174,199.7981,199.988,9970904.0,09988,阿里巴巴
23,2019-12-31,197.3291,197.7089,195.8097,196.7593,8813067.0,09988,阿里巴巴
24,2020-01-02,197.519,200.3678,197.519,199.4182,9516678.0,09988,阿里巴巴
25,2020-01-03,204.1663,204.1663,200.5577,201.3174,11307103.0,09988,阿里巴巴
26,2020-01-06,200.3678,201.1275,198.6585,200.3678,11303411.0,09988,阿里巴巴
27,2020-01-07,201.1275,203.2167,200.9376,201.8872,11676599.0,09988,阿里巴巴
28,2020-01-08,199.4182,200.9376,197.3291,200.1779,15095573.0,09988,阿里巴巴
29,2020-01-09,203.2167,204.926,202.457,204.736,12261435.0,09988,阿里巴巴
30,2020-01-10,205.6856,207.9647,205.4957,207.0151,11860220.0,09988,阿里巴巴
31,2020-01-13,208.7244,213.2825,208.5345,211.5732,17692255.0,09988,阿里巴巴
32,2020-01-14,213.6624,215.9414,211.5732,212.3329,16784465.0,09988,阿里巴巴
33,2020-01-15,209.1042,210.4337,207.205,209.674,21735164.0,09988,阿里巴巴
34,2020-01-16,208.3446,209.4841,207.5849,208.3446,12993720.0,09988,阿里巴巴
35,2020-01-17,207.7748,210.0539,205.3058,209.2942,21245436.0,09988,阿里巴巴
36,2020-01-20,209.8639,211.5732,209.1042,209.1042,11229916.0,09988,阿里巴巴
37,2020-01-21,207.0151,207.9647,203.7864,204.926,20241728.0,09988,阿里巴巴
38,2020-01-22,204.926,208.7244,201.6973,207.3949,14632484.0,09988,阿里巴巴
39,2020-01-23,205.1159,205.8756,201.5074,202.6469,16013394.0,09988,阿里巴巴
40,2020-01-24,202.6469,204.5461,201.1275,203.7864,7583855.0,09988,阿里巴巴
41,2020-01-29,195.4298,199.0384,195.2399,196.9492,24946947.0,09988,阿里巴巴
42,2020-01-30,196.7593,196.7593,189.7322,191.6314,26416987.0,09988,阿里巴巴
43,2020-01-31,194.4802,194.4802,189.5423,190.302,18257747.0,09988,阿里巴巴
44,2020-02-03,191.0616,195.6198,189.9221,194.6702,23784275.0,09988,阿里巴巴
45,2020-02-04,197.8988,203.9763,196.7593,202.457,25035681.0,09988,阿里巴巴
46,2020-02-05,204.736,207.5849,203.2167,204.736,23975014.0,09988,阿里巴巴
47,2020-02-06,204.3562,208.1546,203.0267,206.4453,18777127.0,09988,阿里巴巴
48,2020-02-07,204.1663,205.3058,203.4066,204.5461,14223318.0,09988,阿里巴巴
49,2020-02-10,200.5577,203.9763,200.5577,201.8872,23432236.0,09988,阿里巴巴
50,2020-02-11,201.1275,202.8368,196.7593,201.5074,29376694.0,09988,阿里巴巴
51,2020-02-12,201.3174,204.926,199.6081,204.1663,24402441.0,09988,阿里巴巴
52,2020-02-13,206.4453,207.0151,204.1663,206.2554,20547490.0,09988,阿里巴巴
53,2020-02-14,203.5965,206.0655,203.0267,204.1663,15926098.0,09988,阿里巴巴
54,2020-02-17,203.5965,206.8252,202.6469,206.4453,15531105.0,09988,阿里巴巴
55,2020-02-18,204.926,205.1159,202.6469,203.2167,13177196.0,09988,阿里巴巴
56,2020-02-19,203.7864,205.8756,203.2167,203.2167,10179246.0,09988,阿里巴巴
57,2020-02-20,205.8756,205.8756,203.0267,204.736,12728604.0,09988,阿里巴巴
58,2020-02-21,202.267,203.2167,201.3174,201.8872,15106823.0,09988,阿里巴巴
59,2020-02-24,195.9996,197.1391,194.6702,194.8601,30852998.0,09988,阿里巴巴
60,2020-02-25,193.1508,196.9492,192.7709,196.1895,23465654.0,09988,阿里巴巴
61,2020-02-26,191.6314,194.1004,190.8717,192.7709,29014994.0,09988,阿里巴巴
62,2020-02-27,192.7709,195.2399,191.2516,194.8601,23397941.0,09988,阿里巴巴
63,2020-02-28,190.4919,191.8213,189.4473,189.9221,38816951.0,09988,阿里巴巴
64,2020-03-02,191.0616,194.6702,190.4919,194.2903,17004513.0,09988,阿里巴巴
