date,symbol,action,price,score
1998-07-02,5,SELL,5.5059,3
1998-07-16,5,SELL,5.4635,3
1998-07-17,5,SELL,5.5768,3
1998-07-21,5,SELL,5.6192,3
1998-07-22,5,SELL,5.5909,3
1998-10-12,5,SELL,4.4303,3
1998-10-13,5,SELL,4.4868,3
1998-10-14,5,SELL,4.4868,4
1998-10-15,5,SELL,4.6001,4
1998-10-16,5,SELL,4.9681,4
1998-10-19,5,SELL,4.8974,4
1998-10-20,5,SELL,4.9681,4
1998-10-21,5,SELL,5.0247,3
1998-10-22,5,SELL,5.1097,3
1998-10-23,5,SELL,5.1521,3
1998-10-26,5,SELL,5.053,3
1998-10-27,5,SELL,5.0813,3
1998-11-04,5,SELL,5.3503,3
1998-11-20,5,SELL,5.2795,3
1998-11-23,5,SELL,5.5909,3
1998-11-24,5,SELL,5.69,3
1998-11-25,5,SELL,5.6333,3
1998-11-26,5,SELL,5.7749,3
1998-11-27,5,SELL,5.7466,4
1998-11-30,5,SELL,5.6192,3
1999-01-08,5,SELL,5.8315,3
1999-01-11,5,SELL,5.7749,3
1999-01-12,5,SELL,5.8315,3
1999-02-23,5,SELL,5.8315,3
1999-02-24,5,SELL,5.973,3
1999-02-25,5,SELL,6.0297,4
1999-02-26,5,SELL,6.1712,4
1999-03-01,5,SELL,6.3127,4
1999-03-02,5,SELL,6.1995,4
1999-03-03,5,SELL,6.1995,3
1999-03-04,5,SELL,6.1995,3
1999-03-05,5,SELL,6.4543,4
1999-03-08,5,SELL,6.3694,3
1999-03-09,5,SELL,6.5392,3
1999-03-10,5,SELL,6.7091,3
1999-03-11,5,SELL,6.6241,3
1999-03-12,5,SELL,6.7091,3
1999-03-15,5,SELL,6.7091,3
1999-03-16,5,SELL,6.7373,3
1999-03-17,5,SELL,6.8223,3
1999-03-22,5,SELL,6.8506,3
1999-04-01,5,SELL,7.0205,3
1999-04-07,5,SELL,7.4451,4
1999-04-08,5,SELL,7.615,4
1999-04-09,5,SELL,7.6432,4
1999-04-12,5,SELL,7.53,4
1999-04-13,5,SELL,7.6432,4
1999-04-14,5,SELL,7.5866,3
1999-04-15,5,SELL,7.6432,3
1999-04-16,5,SELL,7.8414,4
1999-04-19,5,SELL,7.9263,4
1999-04-27,5,SELL,8.1528,3
1999-04-29,5,SELL,8.1528,3
1999-06-07,5,SELL,7.8414,3
1999-06-08,5,SELL,7.8697,4
1999-06-09,5,SELL,7.8414,4
1999-06-10,5,SELL,7.8414,4
1999-06-11,5,SELL,7.9829,4
1999-06-14,5,SELL,8.0679,4
1999-06-15,5,SELL,8.0396,4
1999-06-16,5,SELL,8.0679,3
1999-06-17,5,SELL,8.2377,4
1999-06-21,5,SELL,8.4925,4
1999-06-22,5,SELL,8.3793,4
1999-06-23,5,SELL,8.3793,3
1999-07-05,5,SELL,25.8596,4
1999-07-06,5,SELL,25.6048,4
1999-07-07,5,SELL,25.7322,4
1999-07-08,5,SELL,25.6048,4
1999-07-09,5,SELL,25.4137,3
1999-07-12,5,SELL,25.2227,3
1999-07-13,5,SELL,25.2864,3
1999-07-14,5,SELL,24.522,3
1999-07-21,5,SELL,23.8214,3
1999-08-19,5,SELL,24.6739,3
1999-08-20,5,SELL,24.8028,3
1999-08-23,5,SELL,24.8028,3
1999-08-24,5,SELL,24.9316,3
1999-08-26,5,SELL,25.1893,3
1999-08-30,5,SELL,25.1893,3
1999-10-29,5,SELL,24.0297,3
1999-11-01,5,SELL,24.1586,3
1999-11-02,5,SELL,24.0941,3
1999-11-04,5,SELL,24.2874,3
1999-11-05,5,SELL,24.3518,4
1999-11-08,5,SELL,24.223,3
1999-11-09,5,SELL,24.5451,3
1999-11-10,5,SELL,25.1893,4
1999-11-11,5,SELL,24.9961,3
1999-11-16,5,SELL,25.447,3
1999-11-17,5,SELL,26.4134,4
1999-11-18,5,SELL,26.4134,4
1999-11-19,5,SELL,26.4134,4
1999-11-22,5,SELL,26.5422,3
1999-11-24,5,SELL,27.1864,4
1999-12-10,5,SELL,27.0576,3
1999-12-13,5,SELL,27.573,3
1999-12-14,5,SELL,27.3153,3
1999-12-24,5,SELL,27.8307,3
1999-12-28,5,SELL,27.573,3
1999-12-29,5,SELL,27.3153,3
1999-12-30,5,SELL,28.0884,3
2000-03-08,5,BUY,22.6768,5
2000-03-17,5,SELL,23.6261,3
2000-03-20,5,SELL,23.2324,3
2000-03-22,5,SELL,23.4949,3
2000-03-23,5,SELL,23.5605,3
2000-03-24,5,SELL,24.1512,4
2000-03-27,5,SELL,24.8075,4
2000-03-28,5,SELL,24.4137,3
2000-05-31,5,SELL,22.5761,3
2000-06-01,5,SELL,22.773,3
2000-06-02,5,SELL,22.8386,3
2000-06-05,5,SELL,23.4949,3
2000-06-07,5,SELL,24.2168,4
2000-06-08,5,SELL,23.9543,4
2000-06-09,5,SELL,23.9543,4
2000-06-12,5,SELL,24.0199,4
2000-06-13,5,SELL,23.9543,3
2000-06-14,5,SELL,24.3481,4
2000-06-15,5,SELL,24.5449,4
2000-06-16,5,SELL,24.4793,3
2000-07-11,5,SELL,24.6106,3
2000-07-12,5,SELL,25.3325,4
2000-07-13,5,SELL,25.595,4
2000-07-17,5,SELL,25.8575,4
2000-07-20,5,SELL,25.8575,3
2000-07-21,5,SELL,26.2513,4
2000-07-24,5,SELL,26.5138,4
2000-07-25,5,SELL,26.7763,4
2000-07-26,5,SELL,27.5638,4
2000-07-27,5,SELL,27.5638,4
2000-07-28,5,SELL,27.1701,3
2000-08-07,5,SELL,28.3514,4
2000-08-08,5,SELL,27.9576,3
2000-08-09,5,SELL,28.0889,3
2000-08-10,5,SELL,28.3514,4
2000-08-11,5,SELL,28.6139,4
2000-08-15,5,SELL,29.057,3
2000-08-16,5,SELL,29.1897,3
2000-08-18,5,SELL,28.7916,3
2000-08-22,5,SELL,30.1184,4
2000-08-23,5,SELL,29.9858,4
2000-08-24,5,SELL,30.5165,4
2000-09-04,5,SELL,30.7818,3
2000-09-06,5,SELL,30.3838,3
2000-09-07,5,SELL,30.3838,3
2000-11-01,5,SELL,29.9858,3
2000-11-02,5,SELL,29.9858,4
2000-11-03,5,SELL,30.9145,4
2000-11-06,5,SELL,30.7818,3
2000-11-07,5,SELL,30.9145,4
2000-11-08,5,SELL,30.6492,3
2000-12-11,5,SELL,30.6492,3
2000-12-12,5,SELL,30.7818,3
2000-12-13,5,SELL,31.1799,4
2000-12-14,5,SELL,30.9145,3
